t,f,df
4.667445053089904832e+02,1.000334978103637695e+00,2.776751643978059292e-04
4.667649395974003710e+02,1.000261545181274414e+00,2.776510955300182104e-04
4.667853737859113608e+02,1.000299334526062012e+00,2.776429464574903250e-04
4.668058078745089006e+02,1.000513553619384766e+00,2.776943729259073734e-04
4.668262421632171026e+02,9.999550580978393555e-01,2.776685287244617939e-04
4.668875447298996733e+02,9.998484849929809570e-01,2.776380279101431370e-04
4.669079789189927396e+02,9.998735189437866211e-01,2.776734763756394386e-04
4.669284130081723561e+02,9.999694824218750000e-01,2.776845358312129974e-04
4.669488472974626347e+02,9.994165301322937012e-01,2.776134351734071970e-04
4.669897155763101182e+02,9.997162222862243652e-01,2.776962937787175179e-04
4.670305840555520263e+02,9.997795820236206055e-01,2.776546170935034752e-04
4.670714524351787986e+02,9.998000264167785645e-01,2.776540932245552540e-04
4.670918866251304280e+02,9.999962449073791504e-01,2.776814508251845837e-04
4.671123207151831593e+02,1.000375390052795410e+00,2.777050831355154514e-04
4.671327550053320010e+02,1.000144362449645996e+00,2.776626788545399904e-04
4.671940575763655943e+02,1.000292301177978516e+00,2.776896581053733826e-04
4.672349258575195563e+02,1.000161170959472656e+00,2.776460023596882820e-04
4.672553600482424372e+02,1.000539302825927734e+00,2.777150657493621111e-04
4.672757943390606670e+02,1.000179529190063477e+00,2.777311310637742281e-04
4.672962284299792373e+02,9.998220801353454590e-01,2.776211185846477747e-04
4.673166626209858805e+02,1.000429272651672363e+00,2.776747569441795349e-04
4.673370969120878726e+02,1.000646233558654785e+00,2.777373592834919691e-04
4.673575310032829293e+02,9.996863007545471191e-01,2.776746987365186214e-04
4.673983994859736413e+02,9.995460510253906250e-01,2.776398905552923679e-04
4.674188335774597363e+02,1.000152349472045898e+00,2.776530163828283548e-04
4.674392677690411801e+02,1.000416636466979980e+00,2.777249028440564871e-04
4.674801362524813158e+02,9.991248250007629395e-01,2.776193432509899139e-04
4.675005703443384846e+02,9.991974830627441406e-01,2.776443725451827049e-04
4.675210046363063157e+02,9.989901781082153320e-01,2.776283945422619581e-04
4.675618729205089039e+02,9.985482692718505859e-01,2.775968459900468588e-04
4.675823072127532214e+02,9.992001652717590332e-01,2.775978937279433012e-04
4.676027414050840889e+02,9.986217021942138672e-01,2.775784232653677464e-04
4.676231754975087824e+02,9.998056888580322266e-01,2.776355540845543146e-04
4.676436097900368623e+02,1.000494718551635742e+00,2.776930923573672771e-04
4.676640439826587681e+02,9.998869299888610840e-01,2.776017354335635900e-04
4.676844780753744999e+02,9.997432231903076172e-01,2.776912879198789597e-04
4.677049123681790661e+02,1.000158548355102539e+00,2.776487381197512150e-04
4.677253465610774583e+02,1.000006794929504395e+00,2.776623005047440529e-04
4.677457806540696765e+02,1.000026345252990723e+00,2.776262990664690733e-04
4.677662149471652810e+02,1.000244259834289551e+00,2.776862238533794880e-04
4.677866491403474356e+02,1.000091075897216797e+00,2.776740875560790300e-04
4.678070833336169017e+02,9.999839663505554199e-01,2.776914334390312433e-04
4.678275175269955071e+02,1.000641822814941406e+00,2.777122135739773512e-04
4.678479517204541480e+02,9.999694228172302246e-01,2.776809560600668192e-04
4.678683859140001005e+02,1.000106930732727051e+00,2.776565670501440763e-04
4.678888201076551923e+02,1.001020312309265137e+00,2.777187037281692028e-04
4.679092543014048715e+02,1.000131011009216309e+00,2.776471374090760946e-04
4.679296884952345863e+02,9.999142885208129883e-01,2.776430919766426086e-04
4.679501225891654030e+02,1.000058770179748535e+00,2.776710025500506163e-04
4.679705568831850542e+02,9.998247623443603516e-01,2.776319743134081364e-04
4.679909909772904939e+02,1.000334620475769043e+00,2.777196350507438183e-04
4.680114251715058344e+02,9.999487996101379395e-01,2.776312467176467180e-04
4.680318594658092479e+02,9.997172355651855469e-01,2.776413166429847479e-04
4.680522935602057260e+02,9.995321035385131836e-01,2.775965549517422915e-04
4.680931620492629008e+02,9.998791813850402832e-01,2.776673645712435246e-04
4.681340303386969026e+02,1.000579237937927246e+00,2.776866604108363390e-04
4.681544646335605648e+02,1.000149488449096680e+00,2.776917535811662674e-04
4.681748988285035011e+02,9.999737143516540527e-01,2.776149194687604904e-04
4.682157672186804120e+02,1.000054121017456055e+00,2.776806068141013384e-04
4.682362014138998347e+02,9.996204376220703125e-01,2.776370965875685215e-04
4.682566355092130834e+02,1.000483512878417969e+00,2.776993205770850182e-04
4.682770698046297184e+02,1.000189542770385742e+00,2.777014451567083597e-04
4.682975040001256275e+02,1.000347375869750977e+00,2.776842738967388868e-04
4.683179380957226385e+02,9.999878406524658203e-01,2.776506880763918161e-04
4.683383723914012080e+02,1.000296950340270996e+00,2.776897745206952095e-04
4.683588065871736035e+02,1.000340461730957031e+00,2.776749024633318186e-04
4.683792406830471009e+02,9.998613595962524414e-01,2.776636101771146059e-04
4.683996749790094327e+02,9.999417066574096680e-01,2.776431210804730654e-04
4.684405432712010224e+02,1.000231981277465820e+00,2.777082845568656921e-04
4.684609775674325647e+02,9.998555779457092285e-01,2.776540059130638838e-04
4.684814117637506570e+02,1.000268101692199707e+00,2.776667533908039331e-04
4.685018459601706127e+02,1.000205993652343750e+00,2.777245827019214630e-04
4.685222801566778799e+02,1.000108480453491211e+00,2.776834880933165550e-04
4.685427143532724585e+02,9.999884366989135742e-01,2.776978653855621815e-04
4.685631485499616247e+02,1.000174164772033691e+00,2.776555193122476339e-04
4.685835826467373408e+02,9.999618530273437500e-01,2.776486799120903015e-04
4.686040169436091674e+02,9.996151924133300781e-01,2.776156179606914520e-04
4.686244511405748199e+02,1.000141501426696777e+00,2.776767942123115063e-04
4.686448852376270224e+02,9.999393820762634277e-01,2.776894543785601854e-04
4.686653195347680594e+02,1.000596165657043457e+00,2.776564506348222494e-04
4.686857537319956464e+02,9.999252557754516602e-01,2.776401524897664785e-04
4.687061878293170594e+02,1.000124335289001465e+00,2.776265318971127272e-04
4.687266221267345827e+02,9.999308586120605469e-01,2.776361361611634493e-04
4.687470562242378946e+02,9.999731779098510742e-01,2.776726032607257366e-04
4.687674904218365555e+02,1.000026822090148926e+00,2.776020555756986141e-04
4.687879247195160133e+02,1.000019669532775879e+00,2.776772889774292707e-04
4.688492273131050752e+02,9.998221993446350098e-01,2.776611654553562403e-04
4.688696615111548454e+02,9.999316334724426270e-01,2.776221372187137604e-04
4.688900956092911656e+02,9.999375939369201660e-01,2.776594192255288363e-04
4.689105299075017683e+02,9.997783899307250977e-01,2.776593028102070093e-04
4.689309641058207490e+02,1.000182747840881348e+00,2.776450419332832098e-04
4.689513982042262796e+02,9.999625682830810547e-01,2.776701876427978277e-04
4.689718325027133687e+02,1.000054836273193359e+00,2.776201581582427025e-04
4.691148718946642475e+02,1.000341892242431641e+00,2.776848559733480215e-04
4.691353059938628576e+02,1.000089168548583984e+00,2.776504261419177055e-04
4.691557402931575780e+02,1.000451087951660156e+00,2.777033369056880474e-04
4.691761744925461244e+02,1.000129699707031250e+00,2.776331675704568624e-04
4.691966086920219823e+02,9.998740553855895996e-01,2.776095934677869081e-04
4.692170428915778757e+02,1.000156879425048828e+00,2.776483015622943640e-04
4.692579112909661490e+02,9.995271563529968262e-01,2.776529581751674414e-04
4.692783453907832154e+02,9.997927546501159668e-01,2.776437322609126568e-04
4.692987796907036682e+02,1.000048518180847168e+00,2.776618639472872019e-04
4.693192138907106710e+02,1.000734925270080566e+00,2.776565961539745331e-04
4.693396479907969479e+02,1.000462651252746582e+00,2.776438195724040270e-04
4.693600822909720591e+02,9.998840689659118652e-01,2.776327019091695547e-04
4.693805164912482724e+02,1.000526905059814453e+00,2.776212058961391449e-04
4.694009505915964837e+02,9.998874664306640625e-01,2.776574983727186918e-04
4.694213848920408054e+02,1.000314116477966309e+00,2.776740584522485733e-04
4.694418190925789531e+02,9.996126890182495117e-01,2.775987377390265465e-04
4.694622531931818230e+02,1.000213265419006348e+00,2.776698675006628036e-04
4.694826874938953551e+02,9.998667836189270020e-01,2.776566834654659033e-04
4.695031216946954373e+02,1.000197768211364746e+00,2.775528701022267342e-04
4.695235557955675176e+02,1.000268578529357910e+00,2.775924222078174353e-04
4.695439900965429842e+02,1.000242948532104492e+00,2.776481560431420803e-04
4.695644242976050009e+02,1.000240087509155273e+00,2.776285691652446985e-04
4.695848583987317397e+02,1.000730872154235840e+00,2.777116314973682165e-04
4.696257269012930919e+02,1.000026106834411621e+00,2.776479523163288832e-04
4.696461610026890412e+02,1.000266432762145996e+00,2.776656183414161205e-04
4.696665953041956527e+02,1.000273227691650391e+00,2.776869514491409063e-04
4.696870295057669864e+02,9.996095299720764160e-01,2.776095061562955379e-04
4.697074636074248701e+02,1.000123500823974609e+00,2.776442270260304213e-04
4.697278979091861402e+02,1.000036239624023438e+00,2.776620385702699423e-04
4.697483321110339602e+02,1.000281453132629395e+00,2.776662004180252552e-04
4.697687662129537784e+02,9.998998641967773438e-01,2.776282490231096745e-04
4.697892005149624310e+02,9.994816780090332031e-01,2.776047622319310904e-04
4.698300688192466623e+02,1.000158905982971191e+00,2.776772016659379005e-04
4.698505031215245253e+02,1.000385284423828125e+00,2.776438195724040270e-04
4.698709373238889384e+02,9.998181462287902832e-01,2.776029577944427729e-04
4.699118057288578711e+02,1.000113964080810547e+00,2.776709734462201595e-04
4.699322399314842187e+02,1.000317692756652832e+00,2.777230984065681696e-04
4.699526741341833258e+02,1.000442981719970703e+00,2.776740584522485733e-04
4.699731082369689830e+02,1.000367760658264160e+00,2.776695182546973228e-04
4.699935425398434745e+02,1.000015258789062500e+00,2.776274341158568859e-04
4.700139767428045161e+02,1.000456690788269043e+00,2.776660840027034283e-04
4.700344108458521077e+02,9.997411370277404785e-01,2.775868924800306559e-04
4.700548451489885338e+02,1.000019073486328125e+00,2.776517649181187153e-04
4.700752793522042339e+02,9.997157454490661621e-01,2.775850589387118816e-04
4.700957134555064840e+02,9.995976090431213379e-01,2.776072360575199127e-04
